model,embedding,accuracy,precision,recall,f1_score,training_time
GRU,TF-IDF,0.9802690582959641,0.9800633477602473,0.9802690582959641,0.9799160204242418,11.184626579284668
GRU (Variant),TF-IDF,0.97847533632287,0.978186113119787,0.97847533632287,0.9782228251599319,10.817093849182129
GRU,Skip-gram,0.957847533632287,0.9613552566018934,0.957847533632287,0.9590033903007461,24.416781902313232
GRU (Variant),Skip-gram,0.9533632286995516,0.9536374427570607,0.9533632286995516,0.9534945204736789,40.50948739051819
GRU,CBOW,0.9390134529147982,0.94181561755077,0.9390134529147982,0.9401591621911742,17.410525798797607
GRU (Variant),CBOW,0.9363228699551569,0.9394540685656676,0.9363228699551569,0.9375995517286939,12.398311853408813
