model,embedding,accuracy,precision,recall,f1_score,training_time,member
LSTM,TF-IDF,0.981149012567325,0.980953121314376,0.981149012567325,0.9808411726976592,18.915733098983765,Erneste
LSTM,Skip-gram,0.9775583482944344,0.9773943994905672,0.9775583482944344,0.9774616528298619,15.444976091384888,Erneste
LSTM,CBOW,0.981149012567325,0.9810163901039455,0.981149012567325,0.9810677883770841,22.8687527179718,Erneste
